ticker,fiscal_year,fiscal_quarter,end_date,stock_price
2579,2022,3,2022-09-30,1404
2579,2022,4,2022-12-30,1437.0085495595897
2585,2021,3,2021-12-30,1031.3197083781522
2585,2021,4,2022-03-31,1100
2585,2022,1,2022-06-30,1837
2585,2022,2,2022-09-30,1691
2585,2022,3,2022-12-30,2608.343798648739
2585,2022,4,2023-03-31,3210
2587,2013,3,2013-09-30,3315
2587,2013,4,2013-12-30,3355
2587,2014,1,2014-03-31,3555
2587,2014,2,2014-06-30,3975
2587,2014,3,2014-09-30,3890
2587,2014,4,2014-12-30,4170
2587,2015,1,2015-03-31,5150
2587,2015,2,2015-06-30,4875
2587,2015,3,2015-09-30,4585
2587,2015,4,2015-12-30,5320
2587,2016,1,2016-03-31,5070
2587,2016,2,2016-06-30,4620
2587,2016,3,2016-09-30,4350
2587,2016,4,2016-12-30,4855
2587,2017,1,2017-03-31,4690
2587,2017,2,2017-06-30,5220
2587,2017,3,2017-09-29,5010
2587,2017,4,2017-12-29,5010
2587,2018,1,2018-03-30,5170
2587,2018,2,2018-06-29,4730
2587,2018,3,2018-09-28,4810
2587,2018,4,2018-12-28,4960
2587,2019,1,2019-03-29,5200
2587,2019,2,2019-06-28,4685
2587,2019,3,2019-09-30,4620
2587,2019,4,2019-12-30,4545
2587,2020,1,2020-03-31,4085
2587,2020,2,2020-06-30,4205
2587,2020,3,2020-09-30,3950
2587,2020,4,2020-12-30,3650
2587,2021,1,2021-03-31,4115
2587,2021,2,2021-06-30,4180
2587,2021,3,2021-09-30,4640
2587,2021,4,2021-12-30,4160.000376957966
2587,2022,1,2022-03-31,4660
2587,2022,2,2022-06-30,5130
2587,2022,3,2022-09-30,5130
2587,2022,4,2022-12-30,4500.000611650725
2588,2012,4,2013-03-29,652.154841781874
2588,2013,1,2013-06-28,808.0245447136995
2588,2013,2,2013-09-30,804
2588,2013,3,2013-12-30,600
2588,2013,4,2014-03-31,613
2588,2014,1,2014-06-30,602
2588,2014,2,2014-09-30,503
2588,2014,3,2014-12-30,647
2588,2014,4,2015-03-31,581
2588,2015,1,2015-06-30,511
2588,2015,2,2015-09-30,464
2588,2015,3,2015-12-30,537.0268832156056
2588,2015,4,2016-03-31,500
2588,2016,1,2016-06-30,490
2588,2016,2,2016-09-30,513
2588,2016,3,2016-12-30,482.5486803562985
2588,2016,4,2017-03-31,599
2588,2017,1,2017-06-30,551
2588,2017,2,2017-09-29,1306.402079670305
2588,2017,3,2017-12-29,1038.932207712043
2588,2017,4,2018-03-30,830
2588,2018,1,2018-06-29,1288.62796737805
2588,2018,2,2018-09-28,1975
2588,2018,3,2018-12-28,1294.3765132341882
2588,2018,4,2019-03-29,1728.3018390177313
2588,2019,1,2019-06-28,1561.0997409150855
2588,2019,2,2019-09-30,1677
2588,2019,3,2019-12-30,1766.8408252238587
2588,2019,4,2020-03-31,1714
2588,2020,1,2020-06-30,2235
2588,2020,2,2020-09-30,3730
2588,2020,3,2020-12-30,3578.81431310775
2588,2020,4,2021-03-31,3410
2588,2021,1,2021-06-30,3645
2588,2021,2,2021-09-30,3100
2588,2021,3,2021-12-30,2789.11788956567
2588,2021,4,2022-03-31,2419
2588,2022,1,2022-06-30,2791
2588,2022,2,2022-09-30,2317
2588,2022,3,2022-12-30,2465.399718989132
2588,2022,4,2023-03-31,2500
2590,2005,1,2005-04-28,3730
2590,2005,2,2005-07-29,3900
2590,2005,3,2005-10-31,3980
2590,2005,4,2006-01-31,4540
2590,2006,1,2006-04-28,4680
2590,2006,2,2006-07-31,4720
2590,2006,3,2006-10-31,4490
2590,2006,4,2007-01-31,4620
2590,2007,1,2007-04-27,4930
2590,2007,2,2007-07-31,4540
2590,2007,3,2007-10-31,4500
2590,2007,4,2008-01-31,4100
2590,2008,1,2008-04-30,4060
2590,2008,2,2008-07-31,3440
2590,2008,3,2008-10-31,2355
2590,2008,4,2009-01-30,2605.0078615982084
2590,2009,1,2009-04-20,2610
2590,2009,2,2009-07-17,2710.116139615983
2590,2009,3,2009-10-20,2880
2590,2009,4,2010-01-20,3000
2590,2010,1,2010-04-20,3345
2590,2010,2,2010-07-20,3205
2590,2010,3,2010-10-20,2740
2590,2010,4,2011-01-20,3150
2590,2011,1,2011-04-20,3070
2590,2011,2,2011-07-20,3015
2590,2011,3,2011-10-20,3020
2590,2011,4,2012-01-20,3080
2590,2012,1,2012-04-20,3195
2590,2012,2,2012-07-20,3510
2590,2012,3,2012-10-19,3520
2590,2012,4,2013-01-18,3550
2590,2013,1,2013-04-19,4230.005872544595
2590,2013,2,2013-07-19,4140
2590,2013,3,2013-10-18,4200.012675897698
2590,2013,4,2014-01-20,4310
2590,2014,1,2014-04-18,4275
2590,2014,2,2014-07-18,4625
2590,2014,3,2014-10-20,4380
2590,2014,4,2015-01-20,4945
2590,2015,1,2015-04-20,5060
2590,2015,2,2015-07-17,5190
2590,2015,3,2015-10-20,5110
2590,2015,4,2016-01-20,5120
2590,2016,1,2016-04-20,5370
2590,2016,2,2016-07-20,5460
2590,2016,3,2016-10-20,5720
2590,2016,4,2017-01-20,5980
2590,2017,1,2017-04-20,5220
2590,2017,2,2017-07-20,5610
2590,2017,3,2017-10-20,5430
2590,2017,4,2018-01-19,5880
2590,2018,1,2018-04-20,6640
2590,2018,2,2018-07-20,6420
2590,2018,3,2018-10-19,5750.006283572337
2590,2018,4,2019-01-18,5490.009665790466
2590,2019,1,2019-04-19,4954.909754815399
2590,2019,2,2019-07-19,4560
2590,2019,3,2019-10-18,4480
2590,2019,4,2020-01-20,4385
2590,2020,1,2020-04-20,3925
2590,2020,2,2020-07-20,4825
2590,2020,3,2020-10-20,5180
2590,2020,4,2021-01-20,5120
2590,2021,1,2021-04-20,5240
2590,2021,2,2021-07-20,4935
2590,2021,3,2021-10-20,5530
2590,2021,4,2022-01-20,4600
2590,2022,1,2022-04-20,4850
2590,2022,2,2022-07-20,5240
2590,2022,3,2022-10-20,4660
